,종목명,단축코드,확장코드,기초자산코드
2185,BNK금융지  SP 2309-2,4BTT9TCS,KR44BTT9TCS0,A138930
2186,BNK금융지  SP 2309-2,4BTT9V3S,KR44BTT9V3S3,A138930
2187,BNK금융지  SP 2309-2,4BTT9V6S,KR44BTT9V6S6,A138930
2188,BNK금융지  SP 2309-2,4BTT9VCS,KR44BTT9VCS6,A138930
2189,BNK금융지  SP 2309-2,4BTT9W6S,KR44BTT9W6S5,A138930
2190,BNK금융지  SP 2309-2,4BTT9WCS,KR44BTT9WCS4,A138930
2191,DGB금융지  SP 2309-2,4BVT9TAS,KR44BVT9TAS0,A139130
2192,DGB금융지  SP 2309-2,4BVT9TBS,KR44BVT9TBS8,A139130
2193,DGB금융지  SP 2309-2,4BVT9TCS,KR44BVT9TCS6,A139130
2194,DGB금융지  SP 2309-2,4BVT9V3S,KR44BVT9V3S9,A139130
2195,DGB금융지  SP 2309-2,4BVT9V6S,KR44BVT9V6S2,A139130
2196,DGB금융지  SP 2309-2,4BVT9VCS,KR44BVT9VCS2,A139130
2197,DGB금융지  SP 2309-2,4BVT9W6S,KR44BVT9W6S1,A139130
2198,DGB금융지  SP 2309-2,4BVT9WCS,KR44BVT9WCS0,A139130
2199,GKL        SP 2309-2,4BWT9TAS,KR44BWT9TAS9,A114090
2200,GKL        SP 2309-2,4BWT9TBS,KR44BWT9TBS7,A114090
2201,GKL        SP 2309-2,4BWT9TCS,KR44BWT9TCS5,A114090
2202,GKL        SP 2309-2,4BWT9V3S,KR44BWT9V3S7,A114090
2203,GKL        SP 2309-2,4BWT9V6S,KR44BWT9V6S0,A114090
2204,GKL        SP 2309-2,4BWT9VCS,KR44BWT9VCS1,A114090
2205,GKL        SP 2309-2,4BWT9W6S,KR44BWT9W6S9,A114090
2206,GKL        SP 2309-2,4BWT9WCS,KR44BWT9WCS9,A114090
2207,LX인터내셔 SP 2309-2,4BXT9TAS,KR44BXT9TAS8,A001120
2208,LX인터내셔 SP 2309-2,4BXT9TBS,KR44BXT9TBS6,A001120
2209,LX인터내셔 SP 2309-2,4BXT9TCS,KR44BXT9TCS4,A001120
2210,LX인터내셔 SP 2309-2,4BXT9V3S,KR44BXT9V3S5,A001120
2211,LX인터내셔 SP 2309-2,4BXT9V6S,KR44BXT9V6S8,A001120
2212,LX인터내셔 SP 2309-2,4BXT9VCS,KR44BXT9VCS0,A001120
2213,LX인터내셔 SP 2309-2,4BXT9W6S,KR44BXT9W6S7,A001120
2214,LX인터내셔 SP 2309-2,4BXT9WCS,KR44BXT9WCS8,A001120
2215,LG이노텍   SP 2309-2,4BYT9TAS,KR44BYT9TAS7,A011070
2216,LG이노텍   SP 2309-2,4BYT9TBS,KR44BYT9TBS5,A011070
2217,LG이노텍   SP 2309-2,4BYT9TCS,KR44BYT9TCS3,A011070
2218,LG이노텍   SP 2309-2,4BYT9V3S,KR44BYT9V3S3,A011070
2219,LG이노텍   SP 2309-2,4BYT9V6S,KR44BYT9V6S6,A011070
2220,LG이노텍   SP 2309-2,4BYT9VCS,KR44BYT9VCS9,A011070
2221,LG이노텍   SP 2309-2,4BYT9W6S,KR44BYT9W6S5,A011070
2222,LG이노텍   SP 2309-2,4BYT9WCS,KR44BYT9WCS7,A011070
2223,NH투자증권 SP 2309-2,4BZT9TAS,KR44BZT9TAS6,A005940
2224,NH투자증권 SP 2309-2,4BZT9TBS,KR44BZT9TBS4,A005940
