,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
1576,산돌,419120,KR7419120001,0,12740,6860,9800,00001,9800,2,01,N,
1577,신영스팩7호,419270,KR7419270004,0,2935,1585,2260,00001,2260,2,01,Y,
1578,SAMG엔터,419530,KR7419530001,0,32750,17650,25200,00001,25200,2,01,N,
1579,비스토스,419540,KR7419540000,0,3295,1775,2535,00001,2535,2,01,N,
1580,기가비스,420770,KR7420770000,0,119700,64500,92100,00001,92100,2,01,N,
1581,교보12호스팩,421800,KR7421800004,0,2730,1470,2100,00001,2100,2,01,Y,
1582,엔에이치스팩23호,422040,KR7422040006,0,2740,1480,2110,00001,2110,2,01,Y,
1583,케이비제21호스팩,424140,KR7424140002,0,2645,1425,2035,00001,2035,2,01,Y,
1584,벨로크,424760,KR7424760007,0,2930,1580,2255,00001,2255,2,01,N,
1585,스마트레이더시스템,424960,KR7424960003,0,39000,21000,30000,00001,30000,2,01,N,
1586,마이크로투나노,424980,KR7424980001,0,25200,13580,19400,00001,19400,2,01,N,
1587,티이엠씨,425040,KR7425040003,0,55700,30000,42850,00001,42850,2,01,N,
1588,삼성스팩6호,425290,KR7425290004,0,3365,1815,2590,00001,2590,2,01,Y,
1589,티에프이,425420,KR7425420007,0,46800,25200,36000,00001,36000,2,01,N,
1590,IBKS제19호스팩,426550,KR7426550000,0,3020,1630,2325,00001,2325,2,01,Y,
1591,하나금융23호스팩,427950,KR7427950001,0,3065,1655,2360,00001,2360,2,01,Y,
1592,시지트로닉스,429270,KR7429270002,0,26650,14350,20500,00001,20500,2,01,N,
1593,신영스팩8호,430220,KR7430220004,0,2730,1470,2100,00001,2100,2,01,Y,
1594,하나금융24호스팩,430230,KR7430230003,0,2720,1470,2095,00001,2095,2,01,Y,
1595,한화플러스제3호스팩,430460,KR7430460006,0,2690,1450,2070,00001,2070,2,01,Y,
1596,유안타제9호스팩,430700,KR7430700005,0,2740,1480,2110,00001,2110,2,01,Y,
1597,와이랩,432430,KR7432430007,0,15130,8150,11640,00001,11640,2,01,N,
1598,키움제7호스팩,433530,KR7433530003,0,2680,1450,2065,00001,2065,2,01,Y,
1599,모니터랩,434480,KR7434480000,0,9930,5350,7640,00001,7640,2,01,N,
1600,유안타제10호스팩,435380,KR7435380001,0,2690,1450,2070,00001,2070,2,01,Y,
1601,하나금융25호스팩,435620,KR7435620000,0,12680,6840,9760,00001,9760,2,01,Y,
